FY,Month (abbv),Component,Region,Land Filter,Area of Responsibility,Drug Type,Count of Event,Sum Qty (lbs)
2019,APR,Office of Field Operations,Coastal/Interior,Other,SAN FRANCISCO FIELD OFFICE,Heroin,2,0.047619848592
2019,APR,Office of Field Operations,Coastal/Interior,Other,SAN FRANCISCO FIELD OFFICE,Ketamine,1,0.0100089866948
2019,APR,Office of Field Operations,Coastal/Interior,Other,SAN FRANCISCO FIELD OFFICE,Khat (Catha Edulis),1,788.626139588776
2019,APR,Office of Field Operations,Coastal/Interior,Other,SAN FRANCISCO FIELD OFFICE,Marijuana,48,59.06971049255338
2019,APR,Office of Field Operations,Coastal/Interior,Other,SAN FRANCISCO FIELD OFFICE,Methamphetamine,4,8.311647739662
2019,APR,Office of Field Operations,Coastal/Interior,Other,SAN FRANCISCO FIELD OFFICE,Other Drugs**,293,840.2551385076991
2019,APR,Office of Field Operations,Coastal/Interior,Other,SAN JUAN FIELD OFFICE,Cocaine,20,74.978994843938
2019,APR,Office of Field Operations,Coastal/Interior,Other,SAN JUAN FIELD OFFICE,Ecstasy,2,0.089728140634
2019,APR,Office of Field Operations,Coastal/Interior,Other,SAN JUAN FIELD OFFICE,Marijuana,94,138.0141600430854
2019,APR,Office of Field Operations,Coastal/Interior,Other,SAN JUAN FIELD OFFICE,Methamphetamine,1,0.023809924296
2019,APR,Office of Field Operations,Coastal/Interior,Other,SAN JUAN FIELD OFFICE,Other Drugs**,10,3.4050396365900006
2019,APR,Office of Field Operations,Coastal/Interior,Other,TAMPA FIELD OFFICE,Cocaine,1,14.8591564588
2019,APR,Office of Field Operations,Coastal/Interior,Other,TAMPA FIELD OFFICE,Ketamine,1,1.378330062024
2019,APR,Office of Field Operations,Coastal/Interior,Other,TAMPA FIELD OFFICE,Marijuana,33,1.5739241808704003
2019,APR,Office of Field Operations,Coastal/Interior,Other,TAMPA FIELD OFFICE,Other Drugs**,24,6.2826012651188
2019,APR,Office of Field Operations,Northern Border,Land Only,BOSTON FIELD OFFICE,Marijuana,21,1.1752622724958002
2019,APR,Office of Field Operations,Northern Border,Land Only,BOSTON FIELD OFFICE,Other Drugs**,6,0.3031797027024
2019,APR,Office of Field Operations,Northern Border,Land Only,BUFFALO FIELD OFFICE,Cocaine,4,0.0382061100046
2019,APR,Office of Field Operations,Northern Border,Land Only,BUFFALO FIELD OFFICE,Ecstasy,1,0.00661386786
2019,APR,Office of Field Operations,Northern Border,Land Only,BUFFALO FIELD OFFICE,Heroin,4,0.06172943336
2019,APR,Office of Field Operations,Northern Border,Land Only,BUFFALO FIELD OFFICE,Marijuana,55,24.236651050327204
2019,APR,Office of Field Operations,Northern Border,Land Only,BUFFALO FIELD OFFICE,Other Drugs**,61,31.7316624790888
2019,APR,Office of Field Operations,Northern Border,Land Only,DETROIT FIELD OFFICE,Cocaine,4,0.0026896395964
2019,APR,Office of Field Operations,Northern Border,Land Only,DETROIT FIELD OFFICE,Marijuana,58,3.7142600052712
2019,APR,Office of Field Operations,Northern Border,Land Only,DETROIT FIELD OFFICE,Other Drugs**,9,0.7802600376703999
2019,APR,Office of Field Operations,Northern Border,Land Only,SEATTLE FIELD OFFICE,Cocaine,1,0.003527396192
2019,APR,Office of Field Operations,Northern Border,Land Only,SEATTLE FIELD OFFICE,Ecstasy,2,22.82225336224
2019,APR,Office of Field Operations,Northern Border,Land Only,SEATTLE FIELD OFFICE,Lsd,1,0.0171519639836
2019,APR,Office of Field Operations,Northern Border,Land Only,SEATTLE FIELD OFFICE,Marijuana,63,2.7697776286370006
2019,APR,Office of Field Operations,Northern Border,Land Only,SEATTLE FIELD OFFICE,Methamphetamine,2,0.038139971326
2019,APR,Office of Field Operations,Northern Border,Land Only,SEATTLE FIELD OFFICE,Other Drugs**,4,0.1361574930112
2019,APR,Office of Field Operations,Northern Border,Other,BOSTON FIELD OFFICE,Cocaine,1,3.728457774944
2019,APR,Office of Field Operations,Northern Border,Other,BOSTON FIELD OFFICE,Other Drugs**,2,0.3086471668
2019,APR,Office of Field Operations,Northern Border,Other,BUFFALO FIELD OFFICE,Ecstasy,1,0.071209310626
2019,APR,Office of Field Operations,Northern Border,Other,BUFFALO FIELD OFFICE,Marijuana,46,28.970284462634
2019,APR,Office of Field Operations,Northern Border,Other,BUFFALO FIELD OFFICE,Methamphetamine,1,0.050044933474
2019,APR,Office of Field Operations,Northern Border,Other,BUFFALO FIELD OFFICE,Other Drugs**,10,2.6010137670760005
2019,APR,Office of Field Operations,Northern Border,Other,DETROIT FIELD OFFICE,Ecstasy,1,0.0232808148672
2019,APR,Office of Field Operations,Northern Border,Other,DETROIT FIELD OFFICE,Marijuana,30,28.5982984879614
2019,APR,Office of Field Operations,Northern Border,Other,DETROIT FIELD OFFICE,Other Drugs**,32,26.4096373357302
2019,APR,Office of Field Operations,Northern Border,Other,PORTLAND FIELD OFFICE,Other Drugs**,5,240.32765345806985
2019,APR,Office of Field Operations,Northern Border,Other,SEATTLE FIELD OFFICE,Fentanyl,1,0.11353806493
2019,APR,Office of Field Operations,Northern Border,Other,SEATTLE FIELD OFFICE,Marijuana,16,3.32677553358
2019,APR,Office of Field Operations,Northern Border,Other,SEATTLE FIELD OFFICE,Other Drugs**,41,10.683380754258
2019,APR,Office of Field Operations,Southwest Border,Land Only,EL PASO FIELD OFFICE,Cocaine,7,116.780403417234
2019,APR,Office of Field Operations,Southwest Border,Land Only,EL PASO FIELD OFFICE,Heroin,1,23.5453695816
2019,APR,Office of Field Operations,Southwest Border,Land Only,EL PASO FIELD OFFICE,Marijuana,36,3100.874688038721
2019,APR,Office of Field Operations,Southwest Border,Land Only,EL PASO FIELD OFFICE,Methamphetamine,6,48.9333186565436
2019,APR,Office of Field Operations,Southwest Border,Land Only,EL PASO FIELD OFFICE,Other Drugs**,3,4.8288069708122
2019,APR,Office of Field Operations,Southwest Border,Land Only,LAREDO FIELD OFFICE,Cocaine,14,249.0446210664188
2019,APR,Office of Field Operations,Southwest Border,Land Only,LAREDO FIELD OFFICE,Fentanyl,1,26.45547144
2019,APR,Office of Field Operations,Southwest Border,Land Only,LAREDO FIELD OFFICE,Heroin,2,57.827251322600006
2019,APR,Office of Field Operations,Southwest Border,Land Only,LAREDO FIELD OFFICE,Marijuana,19,2334.494447320639
2019,APR,Office of Field Operations,Southwest Border,Land Only,LAREDO FIELD OFFICE,Methamphetamine,16,1208.6487688059133
2019,APR,Office of Field Operations,Southwest Border,Land Only,LAREDO FIELD OFFICE,Other Drugs**,10,5.2360228149524
2019,APR,Office of Field Operations,Southwest Border,Land Only,SAN DIEGO FIELD OFFICE,Cocaine,27,661.9070328458679
2019,APR,Office of Field Operations,Southwest Border,Land Only,SAN DIEGO FIELD OFFICE,Ecstasy,1,0.0019400679056
2019,APR,Office of Field Operations,Southwest Border,Land Only,SAN DIEGO FIELD OFFICE,Fentanyl,10,49.1004510973658
2019,APR,Office of Field Operations,Southwest Border,Land Only,SAN DIEGO FIELD OFFICE,Heroin,26,180.4294898773728
2019,APR,Office of Field Operations,Southwest Border,Land Only,SAN DIEGO FIELD OFFICE,Ketamine,1,3.747858454
2019,APR,Office of Field Operations,Southwest Border,Land Only,SAN DIEGO FIELD OFFICE,Marijuana,75,821.3284753612247
2019,APR,Office of Field Operations,Southwest Border,Land Only,SAN DIEGO FIELD OFFICE,Methamphetamine,142,6224.669360360429
2019,APR,Office of Field Operations,Southwest Border,Land Only,SAN DIEGO FIELD OFFICE,Other Drugs**,40,65.33884151346398
2019,APR,Office of Field Operations,Southwest Border,Land Only,TUCSON FIELD OFFICE,Cocaine,9,129.80533590242018
2019,APR,Office of Field Operations,Southwest Border,Land Only,TUCSON FIELD OFFICE,Fentanyl,16,112.3350464587184
2019,APR,Office of Field Operations,Southwest Border,Land Only,TUCSON FIELD OFFICE,Heroin,10,197.910736295496
2019,APR,Office of Field Operations,Southwest Border,Land Only,TUCSON FIELD OFFICE,Marijuana,14,7729.587045434279
2019,APR,Office of Field Operations,Southwest Border,Land Only,TUCSON FIELD OFFICE,Methamphetamine,30,1190.9856189754137
2019,APR,Office of Field Operations,Southwest Border,Land Only,TUCSON FIELD OFFICE,Other Drugs**,4,2.638271889354
2019,APR,Office of Field Operations,Southwest Border,Other,EL PASO FIELD OFFICE,Other Drugs**,1,0.00881849048
2019,APR,Office of Field Operations,Southwest Border,Other,LAREDO FIELD OFFICE,Methamphetamine,1,22.0462262
2019,APR,Office of Field Operations,Southwest Border,Other,SAN DIEGO FIELD OFFICE,Marijuana,4,0.0171740102098
2019,APR,Office of Field Operations,Southwest Border,Other,SAN DIEGO FIELD OFFICE,Methamphetamine,1,0.0048942622164
2019,APR,Office of Field Operations,Southwest Border,Other,SAN DIEGO FIELD OFFICE,Other Drugs**,1,0.0021164377152
2019,APR,Office of Field Operations,Southwest Border,Other,TUCSON FIELD OFFICE,Marijuana,2,0.0197975111276
2019,APR,Office of Field Operations,Southwest Border,Other,TUCSON FIELD OFFICE,Methamphetamine,1,3.5053499658
2019,APR,U.S. Border Patrol,Coastal/Interior,Other,MIAMI SECTOR,Cocaine,5,10.030500000000002
2019,APR,U.S. Border Patrol,Coastal/Interior,Other,MIAMI SECTOR,Marijuana,8,85.8838
2019,APR,U.S. Border Patrol,Coastal/Interior,Other,MIAMI SECTOR,Other Drugs**,1,0.0066
2019,APR,U.S. Border Patrol,Northern Border,Land Only,BLAINE SECTOR,Marijuana,1,0.0126
2019,APR,U.S. Border Patrol,Northern Border,Land Only,BUFFALO SECTOR,Cocaine,1,2.205
2019,APR,U.S. Border Patrol,Northern Border,Land Only,BUFFALO SECTOR,Marijuana,3,110.0834
2019,APR,U.S. Border Patrol,Northern Border,Land Only,DETROIT SECTOR,Cocaine,1,0.0849
2019,APR,U.S. Border Patrol,Northern Border,Land Only,DETROIT SECTOR,Marijuana,2,0.0972
2019,APR,U.S. Border Patrol,Northern Border,Land Only,DETROIT SECTOR,Methamphetamine,2,2.2985
2019,APR,U.S. Border Patrol,Northern Border,Land Only,HAVRE SECTOR,Heroin,1,0.0648
2019,APR,U.S. Border Patrol,Northern Border,Land Only,HAVRE SECTOR,Marijuana,2,1.4015
2019,APR,U.S. Border Patrol,Northern Border,Land Only,HAVRE SECTOR,Methamphetamine,1,1.6219
2019,APR,U.S. Border Patrol,Northern Border,Land Only,HAVRE SECTOR,Other Drugs**,1,0.2359
2019,APR,U.S. Border Patrol,Northern Border,Land Only,HOULTON SECTOR,Marijuana,8,24.8119
2019,APR,U.S. Border Patrol,Northern Border,Land Only,HOULTON SECTOR,Other Drugs**,1,0.1925
2019,APR,U.S. Border Patrol,Northern Border,Land Only,SPOKANE SECTOR,Marijuana,2,0.0770999999999999
2019,APR,U.S. Border Patrol,Northern Border,Land Only,SPOKANE SECTOR,Other Drugs**,1,0.0216999999999999
2019,APR,U.S. Border Patrol,Northern Border,Land Only,SWANTON SECTOR,Cocaine,1,0.314
2019,APR,U.S. Border Patrol,Northern Border,Land Only,SWANTON SECTOR,Marijuana,8,61.6814
2019,APR,U.S. Border Patrol,Northern Border,Land Only,SWANTON SECTOR,Other Drugs**,1,0.0007
2019,APR,U.S. Border Patrol,Southwest Border,Land Only,BIG BEND SECTOR,Cocaine,3,0.0198
2019,APR,U.S. Border Patrol,Southwest Border,Land Only,BIG BEND SECTOR,Marijuana,59,4514.626400000001
2019,APR,U.S. Border Patrol,Southwest Border,Land Only,BIG BEND SECTOR,Methamphetamine,3,0.0029
2019,APR,U.S. Border Patrol,Southwest Border,Land Only,BIG BEND SECTOR,Other Drugs**,8,2.2098000000000004
2019,APR,U.S. Border Patrol,Southwest Border,Land Only,DEL RIO SECTOR,Cocaine,1,0.0004
2019,APR,U.S. Border Patrol,Southwest Border,Land Only,DEL RIO SECTOR,Marijuana,8,0.9364
2019,APR,U.S. Border Patrol,Southwest Border,Land Only,DEL RIO SECTOR,Methamphetamine,2,0.0119
2019,APR,U.S. Border Patrol,Southwest Border,Land Only,DEL RIO SECTOR,Other Drugs**,1,0.0212
2019,APR,U.S. Border Patrol,Southwest Border,Land Only,EL CENTRO SECTOR,Cocaine,1,2.406
2019,APR,U.S. Border Patrol,Southwest Border,Land Only,EL CENTRO SECTOR,Fentanyl,1,18.33
2019,APR,U.S. Border Patrol,Southwest Border,Land Only,EL CENTRO SECTOR,Heroin,3,33.8197
2019,APR,U.S. Border Patrol,Southwest Border,Land Only,EL CENTRO SECTOR,Marijuana,7,0.4862
2019,APR,U.S. Border Patrol,Southwest Border,Land Only,EL CENTRO SECTOR,Methamphetamine,11,213.3329
2019,APR,U.S. Border Patrol,Southwest Border,Land Only,EL CENTRO SECTOR,Other Drugs**,2,0.0498
2019,APR,U.S. Border Patrol,Southwest Border,Land Only,EL PASO SECTOR,Cocaine,2,0.0073
2019,APR,U.S. Border Patrol,Southwest Border,Land Only,EL PASO SECTOR,Marijuana,19,1386.3941999999995
2019,APR,U.S. Border Patrol,Southwest Border,Land Only,EL PASO SECTOR,Methamphetamine,2,0.9044
2019,APR,U.S. Border Patrol,Southwest Border,Land Only,LAREDO SECTOR,Cocaine,6,0.0406
2019,APR,U.S. Border Patrol,Southwest Border,Land Only,LAREDO SECTOR,Heroin,2,16.095699999999997
2019,APR,U.S. Border Patrol,Southwest Border,Land Only,LAREDO SECTOR,Marijuana,29,2684.7562000000003
2019,APR,U.S. Border Patrol,Southwest Border,Land Only,LAREDO SECTOR,Methamphetamine,2,0.004
2019,APR,U.S. Border Patrol,Southwest Border,Land Only,LAREDO SECTOR,Other Drugs**,2,0.2213999999999999
2019,APR,U.S. Border Patrol,Southwest Border,Land Only,RIO GRANDE VALLEY SECTOR,Cocaine,3,313.2864
2019,APR,U.S. Border Patrol,Southwest Border,Land Only,RIO GRANDE VALLEY SECTOR,Ecstasy,1,0.0265
2019,APR,U.S. Border Patrol,Southwest Border,Land Only,RIO GRANDE VALLEY SECTOR,Fentanyl,1,11.6844
2019,APR,U.S. Border Patrol,Southwest Border,Land Only,RIO GRANDE VALLEY SECTOR,Heroin,2,5.6878
2019,APR,U.S. Border Patrol,Southwest Border,Land Only,RIO GRANDE VALLEY SECTOR,Marijuana,67,8133.287899999999
2019,APR,U.S. Border Patrol,Southwest Border,Land Only,RIO GRANDE VALLEY SECTOR,Methamphetamine,6,80.2731
2019,APR,U.S. Border Patrol,Southwest Border,Land Only,RIO GRANDE VALLEY SECTOR,Other Drugs**,9,1.1475
2019,APR,U.S. Border Patrol,Southwest Border,Land Only,SAN DIEGO SECTOR,Cocaine,4,52.9042
2019,APR,U.S. Border Patrol,Southwest Border,Land Only,SAN DIEGO SECTOR,Heroin,7,27.5689
2019,APR,U.S. Border Patrol,Southwest Border,Land Only,SAN DIEGO SECTOR,Marijuana,11,142.2825
2019,APR,U.S. Border Patrol,Southwest Border,Land Only,SAN DIEGO SECTOR,Methamphetamine,15,333.87340000000006
2019,APR,U.S. Border Patrol,Southwest Border,Land Only,TUCSON SECTOR,Cocaine,5,33.09
2019,APR,U.S. Border Patrol,Southwest Border,Land Only,TUCSON SECTOR,Fentanyl,1,0.6173
2019,APR,U.S. Border Patrol,Southwest Border,Land Only,TUCSON SECTOR,Heroin,4,45.1764
2019,APR,U.S. Border Patrol,Southwest Border,Land Only,TUCSON SECTOR,Marijuana,83,3312.528
2019,APR,U.S. Border Patrol,Southwest Border,Land Only,TUCSON SECTOR,Methamphetamine,9,308.9696
2019,APR,U.S. Border Patrol,Southwest Border,Land Only,TUCSON SECTOR,Other Drugs**,5,0.221
2019,APR,U.S. Border Patrol,Southwest Border,Land Only,YUMA SECTOR,Ecstasy,1,0.022
2019,APR,U.S. Border Patrol,Southwest Border,Land Only,YUMA SECTOR,Fentanyl,1,0.2842
2019,APR,U.S. Border Patrol,Southwest Border,Land Only,YUMA SECTOR,Marijuana,17,255.5101
2019,APR,U.S. Border Patrol,Southwest Border,Land Only,YUMA SECTOR,Methamphetamine,3,0.0458999999999999
2019,APR,U.S. Border Patrol,Southwest Border,Land Only,YUMA SECTOR,Other Drugs**,1,0.0103
2019,AUG,Office of Field Operations,Coastal/Interior,Other,ATLANTA FIELD OFFICE,Cocaine,2,21.671881279124
2019,AUG,Office of Field Operations,Coastal/Interior,Other,ATLANTA FIELD OFFICE,Marijuana,5,0.0830481340954
2019,AUG,Office of Field Operations,Coastal/Interior,Other,ATLANTA FIELD OFFICE,Other Drugs**,3,1.0105328703294
2019,AUG,Office of Field Operations,Coastal/Interior,Other,BALTIMORE FIELD OFFICE,Cocaine,3,13.778891375
2019,AUG,Office of Field Operations,Coastal/Interior,Other,BALTIMORE FIELD OFFICE,Ecstasy,12,1.8523239253240005
2019,AUG,Office of Field Operations,Coastal/Interior,Other,BALTIMORE FIELD OFFICE,Fentanyl,1,0.7165023515
2019,AUG,Office of Field Operations,Coastal/Interior,Other,BALTIMORE FIELD OFFICE,Ketamine,2,0.135143366606
2019,AUG,Office of Field Operations,Coastal/Interior,Other,BALTIMORE FIELD OFFICE,Marijuana,13,12.306423927102
2019,AUG,Office of Field Operations,Coastal/Interior,Other,BALTIMORE FIELD OFFICE,Other Drugs**,24,9.109941590364002
2019,AUG,Office of Field Operations,Coastal/Interior,Other,CHICAGO FIELD OFFICE,Cocaine,15,60.83567934985201
2019,AUG,Office of Field Operations,Coastal/Interior,Other,CHICAGO FIELD OFFICE,Ecstasy,133,20.474109809678
2019,AUG,Office of Field Operations,Coastal/Interior,Other,CHICAGO FIELD OFFICE,Fentanyl,3,13.89132712862
2019,AUG,Office of Field Operations,Coastal/Interior,Other,CHICAGO FIELD OFFICE,Heroin,10,15.54038484838
2019,AUG,Office of Field Operations,Coastal/Interior,Other,CHICAGO FIELD OFFICE,Ketamine,12,22.920799993354
2019,AUG,Office of Field Operations,Coastal/Interior,Other,CHICAGO FIELD OFFICE,Khat (Catha Edulis),2,51.2133834626
2019,AUG,Office of Field Operations,Coastal/Interior,Other,CHICAGO FIELD OFFICE,Lsd,20,0.1067037348079999
2019,AUG,Office of Field Operations,Coastal/Interior,Other,CHICAGO FIELD OFFICE,Marijuana,101,740.0586339635687
2019,AUG,Office of Field Operations,Coastal/Interior,Other,CHICAGO FIELD OFFICE,Methamphetamine,15,135.547253469984
2019,AUG,Office of Field Operations,Coastal/Interior,Other,CHICAGO FIELD OFFICE,Other Drugs**,407,341.26731424117537
2019,AUG,Office of Field Operations,Coastal/Interior,Other,HOUSTON FIELD OFFICE,Cocaine,2,17.76484907196
2019,AUG,Office of Field Operations,Coastal/Interior,Other,HOUSTON FIELD OFFICE,Ecstasy,1,0.583343145252
2019,AUG,Office of Field Operations,Coastal/Interior,Other,HOUSTON FIELD OFFICE,Marijuana,18,2.9967435273659992
2019,AUG,Office of Field Operations,Coastal/Interior,Other,HOUSTON FIELD OFFICE,Other Drugs**,36,7.083672940322001
2019,AUG,Office of Field Operations,Coastal/Interior,Other,LOS ANGELES FIELD OFFICE,Cocaine,35,9.1908953329704
2019,AUG,Office of Field Operations,Coastal/Interior,Other,LOS ANGELES FIELD OFFICE,Ecstasy,27,2.87152096255
2019,AUG,Office of Field Operations,Coastal/Interior,Other,LOS ANGELES FIELD OFFICE,Fentanyl,1,0.012345886672
2019,AUG,Office of Field Operations,Coastal/Interior,Other,LOS ANGELES FIELD OFFICE,Ketamine,4,0.098767093376
2019,AUG,Office of Field Operations,Coastal/Interior,Other,LOS ANGELES FIELD OFFICE,Marijuana,1030,2547.9470896541234
