FY,Month (abbv),Component,Region,Land Filter,Area of Responsibility,Drug Type,Count of Event,Sum Qty (lbs)
2020,APR,Office of Field Operations,Coastal/Interior,Other,LOS ANGELES FIELD OFFICE,Cocaine,1,10.2074027306
2020,APR,Office of Field Operations,Coastal/Interior,Other,LOS ANGELES FIELD OFFICE,Ecstasy,8,7.05920162924
2020,APR,Office of Field Operations,Coastal/Interior,Other,LOS ANGELES FIELD OFFICE,Ketamine,3,0.5960858639956
2020,APR,Office of Field Operations,Coastal/Interior,Other,LOS ANGELES FIELD OFFICE,Marijuana,44,169.638214892092
2020,APR,Office of Field Operations,Coastal/Interior,Other,LOS ANGELES FIELD OFFICE,Methamphetamine,4,51.99977235115401
2020,APR,Office of Field Operations,Coastal/Interior,Other,LOS ANGELES FIELD OFFICE,Other Drugs**,51,167.70566474962618
2020,APR,Office of Field Operations,Coastal/Interior,Other,MIAMI FIELD OFFICE,Cocaine,17,35.8050114167056
2020,APR,Office of Field Operations,Coastal/Interior,Other,MIAMI FIELD OFFICE,Ecstasy,9,2.796122868946
2020,APR,Office of Field Operations,Coastal/Interior,Other,MIAMI FIELD OFFICE,Ketamine,1,0.01873929227
2020,APR,Office of Field Operations,Coastal/Interior,Other,MIAMI FIELD OFFICE,Lsd,11,0.05401325419
2020,APR,Office of Field Operations,Coastal/Interior,Other,MIAMI FIELD OFFICE,Marijuana,37,101.0809109543686
2020,APR,Office of Field Operations,Coastal/Interior,Other,MIAMI FIELD OFFICE,Methamphetamine,3,4.90308070688
2020,APR,Office of Field Operations,Coastal/Interior,Other,MIAMI FIELD OFFICE,Other Drugs**,227,162.6787283439546
2020,APR,Office of Field Operations,Coastal/Interior,Other,NEW ORLEANS FIELD OFFICE,Cocaine,10,276.504716988127
2020,APR,Office of Field Operations,Coastal/Interior,Other,NEW ORLEANS FIELD OFFICE,Heroin,5,26.735899437264
2020,APR,Office of Field Operations,Coastal/Interior,Other,NEW ORLEANS FIELD OFFICE,Ketamine,1,11.243575362
2020,APR,Office of Field Operations,Coastal/Interior,Other,NEW ORLEANS FIELD OFFICE,Marijuana,13,51.71383279734
2020,APR,Office of Field Operations,Coastal/Interior,Other,NEW ORLEANS FIELD OFFICE,Methamphetamine,5,95.570390577
2020,APR,Office of Field Operations,Coastal/Interior,Other,NEW ORLEANS FIELD OFFICE,Other Drugs**,123,279.87573929769
2020,APR,Office of Field Operations,Coastal/Interior,Other,NEW YORK FIELD OFFICE,Cocaine,63,0.8708259349
2020,APR,Office of Field Operations,Coastal/Interior,Other,NEW YORK FIELD OFFICE,Ecstasy,313,39.05929895854
2020,APR,Office of Field Operations,Coastal/Interior,Other,NEW YORK FIELD OFFICE,Fentanyl,6,0.88515598193
2020,APR,Office of Field Operations,Coastal/Interior,Other,NEW YORK FIELD OFFICE,Heroin,183,11.6734767729
2020,APR,Office of Field Operations,Coastal/Interior,Other,NEW YORK FIELD OFFICE,Ketamine,8,0.15873282864
2020,APR,Office of Field Operations,Coastal/Interior,Other,NEW YORK FIELD OFFICE,Khat (Catha Edulis),3,2229.0057461772003
2020,APR,Office of Field Operations,Coastal/Interior,Other,NEW YORK FIELD OFFICE,Lsd,80,0.35714886444
2020,APR,Office of Field Operations,Coastal/Interior,Other,NEW YORK FIELD OFFICE,Marijuana,17,5.4233716452
2020,APR,Office of Field Operations,Coastal/Interior,Other,NEW YORK FIELD OFFICE,Methamphetamine,24,0.69666074792
2020,APR,Office of Field Operations,Coastal/Interior,Other,NEW YORK FIELD OFFICE,Other Drugs**,313,273.810381545546
2020,APR,Office of Field Operations,Coastal/Interior,Other,PRECLEARANCE FIELD OFFICE,Marijuana,1,0.00551155655
2020,APR,Office of Field Operations,Coastal/Interior,Other,SAN FRANCISCO FIELD OFFICE,Ecstasy,3,0.4529617635052
2020,APR,Office of Field Operations,Coastal/Interior,Other,SAN FRANCISCO FIELD OFFICE,Fentanyl,1,0.0046958461806
2020,APR,Office of Field Operations,Coastal/Interior,Other,SAN FRANCISCO FIELD OFFICE,Ketamine,1,0.0016314207388
2020,APR,Office of Field Operations,Coastal/Interior,Other,SAN FRANCISCO FIELD OFFICE,Lsd,50,225.714554929888
2020,APR,Office of Field Operations,Coastal/Interior,Other,SAN FRANCISCO FIELD OFFICE,Marijuana,40,69.3657170062512
2020,APR,Office of Field Operations,Coastal/Interior,Other,SAN FRANCISCO FIELD OFFICE,Methamphetamine,2,3.2987547800798
2020,APR,Office of Field Operations,Coastal/Interior,Other,SAN FRANCISCO FIELD OFFICE,Other Drugs**,21,25.6577507911792
2020,APR,Office of Field Operations,Coastal/Interior,Other,SAN JUAN FIELD OFFICE,Cocaine,15,22.4745182363874
2020,APR,Office of Field Operations,Coastal/Interior,Other,SAN JUAN FIELD OFFICE,Marijuana,98,1339.9721857982393
2020,APR,Office of Field Operations,Coastal/Interior,Other,SAN JUAN FIELD OFFICE,Other Drugs**,6,1.725337662412
2020,APR,Office of Field Operations,Coastal/Interior,Other,TAMPA FIELD OFFICE,Marijuana,2,0.038360433588
2020,APR,Office of Field Operations,Coastal/Interior,Other,TAMPA FIELD OFFICE,Other Drugs**,3,6.4236971127988
2020,APR,Office of Field Operations,Northern Border,Land Only,BOSTON FIELD OFFICE,Ecstasy,1,0.04629707502
2020,APR,Office of Field Operations,Northern Border,Land Only,BOSTON FIELD OFFICE,Marijuana,4,0.1749588511232
2020,APR,Office of Field Operations,Northern Border,Land Only,BOSTON FIELD OFFICE,Other Drugs**,1,0.025132697868
2020,APR,Office of Field Operations,Northern Border,Land Only,BUFFALO FIELD OFFICE,Cocaine,1,0.00661386786
2020,APR,Office of Field Operations,Northern Border,Land Only,BUFFALO FIELD OFFICE,Marijuana,20,328.468487851896
2020,APR,Office of Field Operations,Northern Border,Land Only,BUFFALO FIELD OFFICE,Methamphetamine,4,0.579374824536
2020,APR,Office of Field Operations,Northern Border,Land Only,BUFFALO FIELD OFFICE,Other Drugs**,64,76.1572113107446
2020,APR,Office of Field Operations,Northern Border,Land Only,DETROIT FIELD OFFICE,Cocaine,1,87.08259349
2020,APR,Office of Field Operations,Northern Border,Land Only,DETROIT FIELD OFFICE,Fentanyl,1,12.456117803
2020,APR,Office of Field Operations,Northern Border,Land Only,DETROIT FIELD OFFICE,Marijuana,23,2826.039796315436
2020,APR,Office of Field Operations,Northern Border,Land Only,DETROIT FIELD OFFICE,Methamphetamine,1,0.0028880556322
2020,APR,Office of Field Operations,Northern Border,Land Only,DETROIT FIELD OFFICE,Other Drugs**,8,0.4561805125304
2020,APR,Office of Field Operations,Northern Border,Land Only,SEATTLE FIELD OFFICE,Lsd,1,0.003527396192
2020,APR,Office of Field Operations,Northern Border,Land Only,SEATTLE FIELD OFFICE,Marijuana,11,0.699085832802
2020,APR,Office of Field Operations,Northern Border,Land Only,SEATTLE FIELD OFFICE,Methamphetamine,1,0.0694897049824
2020,APR,Office of Field Operations,Northern Border,Land Only,SEATTLE FIELD OFFICE,Other Drugs**,2,0.075839018128
2020,APR,Office of Field Operations,Northern Border,Other,BUFFALO FIELD OFFICE,Fentanyl,4,0.0396391147075999
2020,APR,Office of Field Operations,Northern Border,Other,BUFFALO FIELD OFFICE,Marijuana,13,7.597570473044
2020,APR,Office of Field Operations,Northern Border,Other,BUFFALO FIELD OFFICE,Other Drugs**,25,1.4563737027719998
2020,APR,Office of Field Operations,Northern Border,Other,DETROIT FIELD OFFICE,Ketamine,1,0.1385825778932
2020,APR,Office of Field Operations,Northern Border,Other,DETROIT FIELD OFFICE,Lsd,1,0.0562840154886
2020,APR,Office of Field Operations,Northern Border,Other,DETROIT FIELD OFFICE,Marijuana,7,19.5459195942056
2020,APR,Office of Field Operations,Northern Border,Other,DETROIT FIELD OFFICE,Other Drugs**,47,10.3941563127402
2020,APR,Office of Field Operations,Northern Border,Other,PORTLAND FIELD OFFICE,Other Drugs**,12,134.17112803058
2020,APR,Office of Field Operations,Northern Border,Other,SEATTLE FIELD OFFICE,Cocaine,1,0.015211896078
2020,APR,Office of Field Operations,Northern Border,Other,SEATTLE FIELD OFFICE,Ecstasy,4,0.089066753848
2020,APR,Office of Field Operations,Northern Border,Other,SEATTLE FIELD OFFICE,Heroin,1,0.001984160358
2020,APR,Office of Field Operations,Northern Border,Other,SEATTLE FIELD OFFICE,Lsd,3,0.01543235834
2020,APR,Office of Field Operations,Northern Border,Other,SEATTLE FIELD OFFICE,Marijuana,5,2.4122980708040003
2020,APR,Office of Field Operations,Northern Border,Other,SEATTLE FIELD OFFICE,Other Drugs**,11,3.169585940774
2020,APR,Office of Field Operations,Southwest Border,Land Only,EL PASO FIELD OFFICE,Cocaine,8,95.505574671972
2020,APR,Office of Field Operations,Southwest Border,Land Only,EL PASO FIELD OFFICE,Fentanyl,1,4.9824471212
2020,APR,Office of Field Operations,Southwest Border,Land Only,EL PASO FIELD OFFICE,Heroin,3,2.52098596597
2020,APR,Office of Field Operations,Southwest Border,Land Only,EL PASO FIELD OFFICE,Marijuana,36,1889.2412570374004
2020,APR,Office of Field Operations,Southwest Border,Land Only,EL PASO FIELD OFFICE,Methamphetamine,14,187.5485029182934
2020,APR,Office of Field Operations,Southwest Border,Land Only,EL PASO FIELD OFFICE,Other Drugs**,11,10.7190515482496
2020,APR,Office of Field Operations,Southwest Border,Land Only,LAREDO FIELD OFFICE,Cocaine,9,149.1810586303618
2020,APR,Office of Field Operations,Southwest Border,Land Only,LAREDO FIELD OFFICE,Fentanyl,1,2.4030386558
2020,APR,Office of Field Operations,Southwest Border,Land Only,LAREDO FIELD OFFICE,Heroin,2,124.584039966569
2020,APR,Office of Field Operations,Southwest Border,Land Only,LAREDO FIELD OFFICE,Marijuana,31,3860.1698228117793
2020,APR,Office of Field Operations,Southwest Border,Land Only,LAREDO FIELD OFFICE,Methamphetamine,12,795.5453035891936
2020,APR,Office of Field Operations,Southwest Border,Land Only,LAREDO FIELD OFFICE,Other Drugs**,68,46.8060782905056
2020,APR,Office of Field Operations,Southwest Border,Land Only,SAN DIEGO FIELD OFFICE,Cocaine,18,382.6757708786822
2020,APR,Office of Field Operations,Southwest Border,Land Only,SAN DIEGO FIELD OFFICE,Fentanyl,17,137.5242047120166
2020,APR,Office of Field Operations,Southwest Border,Land Only,SAN DIEGO FIELD OFFICE,Heroin,31,101.6155319397186
2020,APR,Office of Field Operations,Southwest Border,Land Only,SAN DIEGO FIELD OFFICE,Marijuana,61,5377.158963133894
2020,APR,Office of Field Operations,Southwest Border,Land Only,SAN DIEGO FIELD OFFICE,Methamphetamine,151,5737.564804755325
2020,APR,Office of Field Operations,Southwest Border,Land Only,SAN DIEGO FIELD OFFICE,Other Drugs**,56,48.6265674651968
2020,APR,Office of Field Operations,Southwest Border,Land Only,TUCSON FIELD OFFICE,Cocaine,8,62.169696497214
2020,APR,Office of Field Operations,Southwest Border,Land Only,TUCSON FIELD OFFICE,Fentanyl,21,68.9733603185698
2020,APR,Office of Field Operations,Southwest Border,Land Only,TUCSON FIELD OFFICE,Heroin,15,36.5656944055104
2020,APR,Office of Field Operations,Southwest Border,Land Only,TUCSON FIELD OFFICE,Marijuana,11,8.6066923848966
2020,APR,Office of Field Operations,Southwest Border,Land Only,TUCSON FIELD OFFICE,Methamphetamine,27,829.8948231521751
2020,APR,Office of Field Operations,Southwest Border,Land Only,TUCSON FIELD OFFICE,Other Drugs**,11,10.117586405061202
2020,APR,Office of Field Operations,Southwest Border,Other,EL PASO FIELD OFFICE,Marijuana,1,0.0095239697184
2020,APR,Office of Field Operations,Southwest Border,Other,EL PASO FIELD OFFICE,Methamphetamine,1,1.0582188576
2020,APR,Office of Field Operations,Southwest Border,Other,SAN DIEGO FIELD OFFICE,Cocaine,1,0.003747858454
2020,APR,Office of Field Operations,Southwest Border,Other,TUCSON FIELD OFFICE,Fentanyl,2,0.0078705027534
2020,APR,Office of Field Operations,Southwest Border,Other,TUCSON FIELD OFFICE,Marijuana,1,0.141977696728
2020,APR,Office of Field Operations,Southwest Border,Other,TUCSON FIELD OFFICE,Methamphetamine,1,0.1455712315986
2020,APR,Office of Field Operations,Southwest Border,Other,TUCSON FIELD OFFICE,Other Drugs**,1,0.004188782978
2020,APR,U.S. Border Patrol,Coastal/Interior,Other,MIAMI SECTOR,Cocaine,4,5.4729
2020,APR,U.S. Border Patrol,Coastal/Interior,Other,MIAMI SECTOR,Ecstasy,1,0.0033
2020,APR,U.S. Border Patrol,Coastal/Interior,Other,MIAMI SECTOR,Fentanyl,1,0.0011
2020,APR,U.S. Border Patrol,Coastal/Interior,Other,MIAMI SECTOR,Marijuana,2,15.8859
2020,APR,U.S. Border Patrol,Coastal/Interior,Other,MIAMI SECTOR,Other Drugs**,1,0.3155
2020,APR,U.S. Border Patrol,Northern Border,Land Only,BLAINE SECTOR,Marijuana,1,0.0681
2020,APR,U.S. Border Patrol,Northern Border,Land Only,BLAINE SECTOR,Other Drugs**,1,0.0608
2020,APR,U.S. Border Patrol,Northern Border,Land Only,BUFFALO SECTOR,Cocaine,1,0.0066
2020,APR,U.S. Border Patrol,Northern Border,Land Only,DETROIT SECTOR,Marijuana,1,0.0291
2020,APR,U.S. Border Patrol,Northern Border,Land Only,GRAND FORKS SECTOR,Heroin,1,0.0948
2020,APR,U.S. Border Patrol,Northern Border,Land Only,GRAND FORKS SECTOR,Marijuana,1,8.0
2020,APR,U.S. Border Patrol,Northern Border,Land Only,GRAND FORKS SECTOR,Methamphetamine,1,28.5979
2020,APR,U.S. Border Patrol,Northern Border,Land Only,HAVRE SECTOR,Heroin,1,0.0055
2020,APR,U.S. Border Patrol,Northern Border,Land Only,HAVRE SECTOR,Methamphetamine,3,0.1718
2020,APR,U.S. Border Patrol,Northern Border,Land Only,HOULTON SECTOR,Marijuana,3,0.0204999999999999
2020,APR,U.S. Border Patrol,Northern Border,Land Only,SPOKANE SECTOR,Marijuana,1,0.3263
2020,APR,U.S. Border Patrol,Northern Border,Land Only,SPOKANE SECTOR,Other Drugs**,1,0.0660999999999999
2020,APR,U.S. Border Patrol,Northern Border,Land Only,SWANTON SECTOR,Ecstasy,1,0.001
2020,APR,U.S. Border Patrol,Northern Border,Land Only,SWANTON SECTOR,Marijuana,5,184.2522
2020,APR,U.S. Border Patrol,Northern Border,Land Only,SWANTON SECTOR,Methamphetamine,1,0.0022
2020,APR,U.S. Border Patrol,Northern Border,Land Only,SWANTON SECTOR,Other Drugs**,1,0.0138
2020,APR,U.S. Border Patrol,Southwest Border,Land Only,BIG BEND SECTOR,Marijuana,16,2880.8148
2020,APR,U.S. Border Patrol,Southwest Border,Land Only,DEL RIO SECTOR,Marijuana,5,13.079
2020,APR,U.S. Border Patrol,Southwest Border,Land Only,DEL RIO SECTOR,Methamphetamine,5,2.227
2020,APR,U.S. Border Patrol,Southwest Border,Land Only,DEL RIO SECTOR,Other Drugs**,1,0.0021
2020,APR,U.S. Border Patrol,Southwest Border,Land Only,EL CENTRO SECTOR,Cocaine,1,0.0044
2020,APR,U.S. Border Patrol,Southwest Border,Land Only,EL CENTRO SECTOR,Ecstasy,1,0.0022
2020,APR,U.S. Border Patrol,Southwest Border,Land Only,EL CENTRO SECTOR,Heroin,3,0.0211
2020,APR,U.S. Border Patrol,Southwest Border,Land Only,EL CENTRO SECTOR,Marijuana,4,30.4989
2020,APR,U.S. Border Patrol,Southwest Border,Land Only,EL CENTRO SECTOR,Methamphetamine,8,144.8509
2020,APR,U.S. Border Patrol,Southwest Border,Land Only,EL CENTRO SECTOR,Other Drugs**,2,0.4255
2020,APR,U.S. Border Patrol,Southwest Border,Land Only,EL PASO SECTOR,Cocaine,5,9.4814
2020,APR,U.S. Border Patrol,Southwest Border,Land Only,EL PASO SECTOR,Heroin,2,0.0107
2020,APR,U.S. Border Patrol,Southwest Border,Land Only,EL PASO SECTOR,Marijuana,31,570.1879
2020,APR,U.S. Border Patrol,Southwest Border,Land Only,EL PASO SECTOR,Methamphetamine,9,83.5866
2020,APR,U.S. Border Patrol,Southwest Border,Land Only,EL PASO SECTOR,Other Drugs**,7,4.0268
2020,APR,U.S. Border Patrol,Southwest Border,Land Only,LAREDO SECTOR,Cocaine,1,0.0009
2020,APR,U.S. Border Patrol,Southwest Border,Land Only,LAREDO SECTOR,Marijuana,19,2558.0741
2020,APR,U.S. Border Patrol,Southwest Border,Land Only,LAREDO SECTOR,Methamphetamine,2,0.013
2020,APR,U.S. Border Patrol,Southwest Border,Land Only,RIO GRANDE VALLEY SECTOR,Cocaine,5,99.7587
2020,APR,U.S. Border Patrol,Southwest Border,Land Only,RIO GRANDE VALLEY SECTOR,Ecstasy,1,0.0282
2020,APR,U.S. Border Patrol,Southwest Border,Land Only,RIO GRANDE VALLEY SECTOR,Heroin,1,0.0013
2020,APR,U.S. Border Patrol,Southwest Border,Land Only,RIO GRANDE VALLEY SECTOR,Marijuana,73,11970.671
2020,APR,U.S. Border Patrol,Southwest Border,Land Only,RIO GRANDE VALLEY SECTOR,Methamphetamine,2,4.6764
2020,APR,U.S. Border Patrol,Southwest Border,Land Only,RIO GRANDE VALLEY SECTOR,Other Drugs**,5,3.4127
2020,APR,U.S. Border Patrol,Southwest Border,Land Only,SAN DIEGO SECTOR,Cocaine,2,0.0564999999999999
2020,APR,U.S. Border Patrol,Southwest Border,Land Only,SAN DIEGO SECTOR,Fentanyl,1,0.5503
2020,APR,U.S. Border Patrol,Southwest Border,Land Only,SAN DIEGO SECTOR,Heroin,4,3.0195
2020,APR,U.S. Border Patrol,Southwest Border,Land Only,SAN DIEGO SECTOR,Marijuana,14,111.1105
2020,APR,U.S. Border Patrol,Southwest Border,Land Only,SAN DIEGO SECTOR,Methamphetamine,20,281.3895
2020,APR,U.S. Border Patrol,Southwest Border,Land Only,SAN DIEGO SECTOR,Other Drugs**,3,5.1245
2020,APR,U.S. Border Patrol,Southwest Border,Land Only,TUCSON SECTOR,Cocaine,5,2.5764
2020,APR,U.S. Border Patrol,Southwest Border,Land Only,TUCSON SECTOR,Fentanyl,9,13.2407
2020,APR,U.S. Border Patrol,Southwest Border,Land Only,TUCSON SECTOR,Heroin,1,0.0044
2020,APR,U.S. Border Patrol,Southwest Border,Land Only,TUCSON SECTOR,Marijuana,82,2107.7753
2020,APR,U.S. Border Patrol,Southwest Border,Land Only,TUCSON SECTOR,Methamphetamine,18,117.3172
2020,APR,U.S. Border Patrol,Southwest Border,Land Only,TUCSON SECTOR,Other Drugs**,2,1.4485
2020,APR,U.S. Border Patrol,Southwest Border,Land Only,YUMA SECTOR,Cocaine,2,7.5986
2020,APR,U.S. Border Patrol,Southwest Border,Land Only,YUMA SECTOR,Fentanyl,3,18.0343
2020,APR,U.S. Border Patrol,Southwest Border,Land Only,YUMA SECTOR,Heroin,1,0.0805
2020,APR,U.S. Border Patrol,Southwest Border,Land Only,YUMA SECTOR,Marijuana,62,592.1890999999999
2020,APR,U.S. Border Patrol,Southwest Border,Land Only,YUMA SECTOR,Methamphetamine,12,222.8192
2020,APR,U.S. Border Patrol,Southwest Border,Land Only,YUMA SECTOR,Other Drugs**,6,251.4742
2020,AUG,Office of Field Operations,Coastal/Interior,Other,ATLANTA FIELD OFFICE,Cocaine,2,5.954244772096
2020,AUG,Office of Field Operations,Coastal/Interior,Other,ATLANTA FIELD OFFICE,Khat (Catha Edulis),1,663.59140862
2020,AUG,Office of Field Operations,Coastal/Interior,Other,ATLANTA FIELD OFFICE,Marijuana,8,1.699543577758
2020,AUG,Office of Field Operations,Coastal/Interior,Other,ATLANTA FIELD OFFICE,Methamphetamine,1,0.0655434304926
2020,AUG,Office of Field Operations,Coastal/Interior,Other,ATLANTA FIELD OFFICE,Other Drugs**,2,0.042328754304
2020,AUG,Office of Field Operations,Coastal/Interior,Other,BALTIMORE FIELD OFFICE,Ecstasy,5,0.695999361134
2020,AUG,Office of Field Operations,Coastal/Interior,Other,BALTIMORE FIELD OFFICE,Fentanyl,2,4.588481059006
2020,AUG,Office of Field Operations,Coastal/Interior,Other,BALTIMORE FIELD OFFICE,Lsd,1,0.001984160358
2020,AUG,Office of Field Operations,Coastal/Interior,Other,BALTIMORE FIELD OFFICE,Marijuana,11,4.7801950420412
2020,AUG,Office of Field Operations,Coastal/Interior,Other,BALTIMORE FIELD OFFICE,Methamphetamine,1,0.008377565956
2020,AUG,Office of Field Operations,Coastal/Interior,Other,BALTIMORE FIELD OFFICE,Other Drugs**,40,25.432306082058
2020,AUG,Office of Field Operations,Coastal/Interior,Other,CHICAGO FIELD OFFICE,Cocaine,42,109.2187242004436
2020,AUG,Office of Field Operations,Coastal/Interior,Other,CHICAGO FIELD OFFICE,Ecstasy,101,40.737678159146
2020,AUG,Office of Field Operations,Coastal/Interior,Other,CHICAGO FIELD OFFICE,Fentanyl,7,50.822283409812
2020,AUG,Office of Field Operations,Coastal/Interior,Other,CHICAGO FIELD OFFICE,Heroin,6,11.765189073892
2020,AUG,Office of Field Operations,Coastal/Interior,Other,CHICAGO FIELD OFFICE,Ketamine,12,9.8666121660004
2020,AUG,Office of Field Operations,Coastal/Interior,Other,CHICAGO FIELD OFFICE,Khat (Catha Edulis),10,2004.7749463630244
2020,AUG,Office of Field Operations,Coastal/Interior,Other,CHICAGO FIELD OFFICE,Lsd,5,0.0415791826132
2020,AUG,Office of Field Operations,Coastal/Interior,Other,CHICAGO FIELD OFFICE,Marijuana,124,578.6311171413691
2020,AUG,Office of Field Operations,Coastal/Interior,Other,CHICAGO FIELD OFFICE,Methamphetamine,33,262.9077069792766
2020,AUG,Office of Field Operations,Coastal/Interior,Other,CHICAGO FIELD OFFICE,Other Drugs**,1058,1323.114494841957
2020,AUG,Office of Field Operations,Coastal/Interior,Other,HOUSTON FIELD OFFICE,Cocaine,1,0.000440924524
2020,AUG,Office of Field Operations,Coastal/Interior,Other,HOUSTON FIELD OFFICE,Ecstasy,1,0.00220462262
2020,AUG,Office of Field Operations,Coastal/Interior,Other,HOUSTON FIELD OFFICE,Fentanyl,1,0.020502990366
2020,AUG,Office of Field Operations,Coastal/Interior,Other,HOUSTON FIELD OFFICE,Ketamine,1,2.2707612986
2020,AUG,Office of Field Operations,Coastal/Interior,Other,HOUSTON FIELD OFFICE,Marijuana,92,67.930154941012
2020,AUG,Office of Field Operations,Coastal/Interior,Other,HOUSTON FIELD OFFICE,Other Drugs**,37,17.8138798790288
2020,AUG,Office of Field Operations,Coastal/Interior,Other,LOS ANGELES FIELD OFFICE,Cocaine,12,0.30093098763
2020,AUG,Office of Field Operations,Coastal/Interior,Other,LOS ANGELES FIELD OFFICE,Ecstasy,18,7.982718044758
2020,AUG,Office of Field Operations,Coastal/Interior,Other,LOS ANGELES FIELD OFFICE,Fentanyl,1,0.062170357884
2020,AUG,Office of Field Operations,Coastal/Interior,Other,LOS ANGELES FIELD OFFICE,Ketamine,2,0.239862941056
2020,AUG,Office of Field Operations,Coastal/Interior,Other,LOS ANGELES FIELD OFFICE,Khat (Catha Edulis),2,1092.39050821
2020,AUG,Office of Field Operations,Coastal/Interior,Other,LOS ANGELES FIELD OFFICE,Marijuana,85,108.580530044406
2020,AUG,Office of Field Operations,Coastal/Interior,Other,LOS ANGELES FIELD OFFICE,Methamphetamine,9,11.167074957086
2020,AUG,Office of Field Operations,Coastal/Interior,Other,LOS ANGELES FIELD OFFICE,Other Drugs**,122,135.6517746283982
2020,AUG,Office of Field Operations,Coastal/Interior,Other,MIAMI FIELD OFFICE,Cocaine,31,53.862458002792
2020,AUG,Office of Field Operations,Coastal/Interior,Other,MIAMI FIELD OFFICE,Ecstasy,34,17.636760497738003
2020,AUG,Office of Field Operations,Coastal/Interior,Other,MIAMI FIELD OFFICE,Fentanyl,1,0.023368999772
2020,AUG,Office of Field Operations,Coastal/Interior,Other,MIAMI FIELD OFFICE,Ketamine,2,4.416079570122
2020,AUG,Office of Field Operations,Coastal/Interior,Other,MIAMI FIELD OFFICE,Lsd,23,0.06944561253
2020,AUG,Office of Field Operations,Coastal/Interior,Other,MIAMI FIELD OFFICE,Marijuana,45,112.5715804196182
2020,AUG,Office of Field Operations,Coastal/Interior,Other,MIAMI FIELD OFFICE,Methamphetamine,13,38.430320125054
2020,AUG,Office of Field Operations,Coastal/Interior,Other,MIAMI FIELD OFFICE,Other Drugs**,494,973.6223508998954
2020,AUG,Office of Field Operations,Coastal/Interior,Other,NEW ORLEANS FIELD OFFICE,Cocaine,9,19.925599701822
2020,AUG,Office of Field Operations,Coastal/Interior,Other,NEW ORLEANS FIELD OFFICE,Ecstasy,5,14.87128188321
2020,AUG,Office of Field Operations,Coastal/Interior,Other,NEW ORLEANS FIELD OFFICE,Fentanyl,6,14.754877808874
2020,AUG,Office of Field Operations,Coastal/Interior,Other,NEW ORLEANS FIELD OFFICE,Heroin,3,9.73671580123
2020,AUG,Office of Field Operations,Coastal/Interior,Other,NEW ORLEANS FIELD OFFICE,Ketamine,2,4.519476371
2020,AUG,Office of Field Operations,Coastal/Interior,Other,NEW ORLEANS FIELD OFFICE,Khat (Catha Edulis),1,21.164377152
2020,AUG,Office of Field Operations,Coastal/Interior,Other,NEW ORLEANS FIELD OFFICE,Lsd,1,0.03417165061
2020,AUG,Office of Field Operations,Coastal/Interior,Other,NEW ORLEANS FIELD OFFICE,Marijuana,23,23.817860937432
2020,AUG,Office of Field Operations,Coastal/Interior,Other,NEW ORLEANS FIELD OFFICE,Methamphetamine,25,280.518607253682
2020,AUG,Office of Field Operations,Coastal/Interior,Other,NEW ORLEANS FIELD OFFICE,Other Drugs**,122,479.713095300804
2020,AUG,Office of Field Operations,Coastal/Interior,Other,NEW YORK FIELD OFFICE,Cocaine,176,8.24969784404
