Date,Month Number,Month Name,Year,Price,Open,High,Low,Change % Price at T and T+1
2017-01-11,11,November,2017,"3,011.99","3,041.80","3,082.00","2,968.50",-0.95%
2017-01-10,10,October,2017,"3,041.00","2,939.00","3,048.50","2,913.55",3.69%
2017-01-09,9,September,2017,"2,932.65","2,945.75","2,951.27","2,887.00",-0.49%
2017-01-08,8,August,2017,"2,947.10","2,990.25","3,022.10","2,907.50",-1.24%
2017-01-07,7,July,2017,"2,984.00","3,045.40","3,108.00","2,984.13",-1.89%
2017-01-06,6,June,2017,"3,041.58","2,916.40","3,075.25","2,881.00",4.31%
2017-01-05,5,May,2017,"2,916.00","2,941.68","2,994.50","2,860.13",-0.76%
2017-01-04,4,April,2017,"2,938.31","2,873.38","2,963.99","2,827.45",2.27%
2017-01-03,3,March,2017,"2,873.11","2,925.00","3,023.40","2,870.43",-1.73%
2017-01-02,2,February,2017,"2,923.70","2,917.00","2,932.20","2,837.65",0.18%
2017-01-01,1,January,2017,"2,918.50","3,002.00","3,002.25","2,891.75",-2.77%
2016-01-12,12,December,2016,"3,001.50","3,074.65","3,099.25","2,953.97",-2.36%
2016-01-11,11,November,2016,"3,074.00","3,006.95","3,209.08","2,947.06",2.36%
2016-01-10,10,October,2016,"3,003.00","2,882.06","3,009.90","2,880.68",4.19%
2016-01-09,9,September,2016,"2,882.35","2,972.00","3,007.96","2,822.15",-2.99%
2016-01-08,8,August,2016,"2,971.10","3,071.30","3,130.77","2,851.27",-3.12%
2016-01-07,7,July,2016,"3,066.93","2,920.15","3,106.95","2,881.00",5.06%
2016-01-06,6,June,2016,"2,919.15","3,091.00","3,128.00","2,864.32",-5.52%
2016-01-05,5,May,2016,"3,089.70","2,853.80","3,092.96","2,816.50",8.56%
2016-01-04,4,April,2016,"2,846.05","3,005.00","3,121.75","2,837.98",-5.12%
2016-01-03,3,March,2016,"2,999.51","3,306.30","3,307.80","2,988.89",-8.84%
2016-01-02,2,February,2016,"3,290.23","3,284.70","3,454.25","3,275.60",0.34%
2016-01-01,1,January,2016,"3,278.92","3,175.00","3,427.05","3,171.53",3.45%
2015-01-12,12,December,2015,"3,169.50","3,145.00","3,376.50","3,107.25",0.82%
2015-01-11,11,November,2015,"3,143.60","2,896.86","3,154.60","2,784.40",8.55%
2015-01-10,10,October,2015,"2,895.86","3,101.25","3,102.63","2,832.25",-6.19%
2015-01-09,9,September,2015,"3,086.81","3,064.50","3,197.63","2,949.93",1.07%
2015-01-08,8,August,2015,"3,054.20","2,879.60","3,268.50","2,877.25",6.09%
2015-01-07,7,July,2015,"2,879.00","2,604.50","2,890.35","2,603.00",10.53%
2015-01-06,6,June,2015,"2,604.73","2,531.00","2,636.23","2,506.18",2.95%
2015-01-05,5,May,2015,"2,530.00","2,382.00","2,569.75","2,351.10",6.26%
2015-01-04,4,April,2015,"2,381.00","2,600.50","2,600.95","2,374.45",-8.39%
2015-01-03,3,March,2015,"2,599.00","2,499.98","2,700.85","2,496.00",3.98%
2015-01-02,2,February,2015,"2,499.50","2,440.00","2,518.00","2,347.50",2.48%
2015-01-01,1,January,2015,"2,439.00","2,388.50","2,463.63","2,343.04",2.14%
2014-01-12,12,December,2014,"2,388.00","2,217.30","2,472.60","2,213.50",7.74%
2014-01-11,11,November,2014,"2,216.50","2,057.49","2,218.29","2,055.32",7.75%
2014-01-10,10,October,2014,"2,057.00","2,024.69","2,083.99","2,011.50",1.59%
2014-01-09,9,September,2014,"2,024.90","1,920.75","2,036.76","1,917.43",5.45%
2014-01-08,8,August,2014,"1,920.25","1,877.24","1,940.00","1,866.74",2.35%
2014-01-07,7,July,2014,"1,876.16","1,879.80","1,892.51","1,838.30",-0.14%
2014-01-06,6,June,2014,"1,878.75","1,898.50","1,907.32","1,870.88",-0.91%
2014-01-05,5,May,2014,"1,896.00","1,934.75","1,937.97","1,894.55",-2.02%
2014-01-04,4,April,2014,"1,935.00","1,970.50","1,986.50","1,913.47",-1.84%
2014-01-03,3,March,2014,"1,971.37","2,046.00","2,058.77","1,955.16",-3.48%
2014-01-02,2,February,2014,"2,042.50","2,014.80","2,067.50","2,007.76",1.36%
2014-01-01,1,January,2014,"2,015.04","1,932.00","2,029.80","1,918.52",4.46%
2013-01-12,12,December,2013,"1,929.00","1,930.00","1,952.80","1,913.95",-0.13%
2013-01-11,11,November,2013,"1,931.50","1,892.16","1,940.53","1,891.15",2.09%
2013-01-10,10,October,2013,"1,892.00","1,906.39","1,912.40","1,875.65",-0.73%
2013-01-09,9,September,2013,"1,906.00","1,932.92","1,959.40","1,880.60",-1.36%
2013-01-08,8,August,2013,"1,932.33","1,894.77","1,947.49","1,865.00",1.97%
2013-01-07,7,July,2013,"1,895.00","1,921.69","1,932.92","1,867.78",-1.32%
2013-01-06,6,June,2013,"1,920.35","1,903.62","1,949.00","1,873.54",0.98%
2013-01-05,5,May,2013,"1,901.70","1,825.08","1,920.75","1,822.00",4.23%
2013-01-04,4,April,2013,"1,824.49","1,825.00","1,855.47","1,810.57",0.30%
2013-01-03,3,March,2013,"1,819.00","1,812.50","1,837.40","1,795.64",0.39%
2013-01-02,2,February,2013,"1,811.90","1,772.05","1,822.84","1,772.05",2.06%
2013-01-01,1,January,2013,"1,775.41","1,764.38","1,782.70","1,743.85",0.48%
2012-01-12,12,December,2012,"1,767.00","1,815.60","1,816.40","1,756.60",-2.66%
2012-01-11,11,November,2012,"1,815.20","1,831.30","1,838.60","1,808.35",-0.90%
2012-01-10,10,October,2012,"1,831.76","1,799.53","1,835.47","1,788.99",1.78%
2012-01-09,9,September,2012,"1,799.75","1,823.97","1,826.58","1,784.05",-1.35%
2012-01-08,8,August,2012,"1,824.31","1,792.76","1,838.76","1,776.94",1.80%
2012-01-07,7,July,2012,"1,792.10","1,782.73","1,806.40","1,766.00",0.52%
2012-01-06,6,June,2012,"1,782.84","1,828.66","1,845.56","1,757.66",-2.47%
2012-01-05,5,May,2012,"1,828.00","1,762.00","1,853.00","1,749.60",3.72%
2012-01-04,4,April,2012,"1,762.38","1,787.18","1,798.78","1,755.53",-1.40%
2012-01-03,3,March,2012,"1,787.46","1,766.76","1,798.96","1,755.22",1.20%
2012-01-02,2,February,2012,"1,766.27","1,809.27","1,809.57","1,760.07",-2.42%
2012-01-01,1,January,2012,"1,810.00","1,937.00","1,937.90","1,795.50",-6.63%
2011-01-12,12,December,2011,"1,938.50","1,953.65","1,956.00","1,916.50",-0.70%
2011-01-11,11,November,2011,"1,952.08","1,865.92","1,972.92","1,865.92",4.61%
2011-01-10,10,October,2011,"1,866.00","1,930.99","1,988.00","1,856.00",-3.32%
2011-01-09,9,September,2011,"1,930.00","1,777.01","1,936.11","1,775.01",8.55%
2011-01-08,8,August,2011,"1,778.00","1,777.70","1,818.00","1,760.60",0.00%
2011-01-07,7,July,2011,"1,777.95","1,769.25","1,785.25","1,746.25",0.52%
2011-01-06,6,June,2011,"1,768.75","1,803.25","1,803.25","1,765.45",-1.95%
2011-01-05,5,May,2011,"1,804.00","1,769.70","1,841.00","1,754.20",2.00%
2011-01-04,4,April,2011,"1,768.70","1,871.50","1,871.50","1,759.20",-5.49%
2011-01-03,3,March,2011,"1,871.50","1,907.10","1,921.00","1,858.80",-1.86%
2011-01-02,2,February,2011,"1,907.00","1,866.80","1,913.60","1,841.00",1.81%
2011-01-01,1,January,2011,"1,873.10","1,916.30","1,960.30","1,820.20",-2.44%
2010-01-12,12,December,2010,"1,920.00","1,947.00","2,035.00","1,873.80",-1.18%
2010-01-11,11,November,2010,"1,943.00","1,826.00","1,944.40","1,813.80",5.64%
2010-01-10,10,October,2010,"1,839.30","1,796.30","1,850.30","1,781.10",2.10%
2010-01-09,9,September,2010,"1,801.55","1,826.05","1,826.15","1,786.05",-1.34%
2010-01-08,8,August,2010,"1,825.95","1,840.95","1,843.85","1,795.95",-1.04%
2010-01-07,7,July,2010,"1,845.10","1,916.90","1,916.90","1,836.20",-3.75%
2010-01-06,6,June,2010,"1,916.90","1,974.50","1,979.90","1,879.85",-2.76%
2010-01-05,5,May,2010,"1,971.30","1,954.85","2,047.70","1,947.65",0.75%
2010-01-04,4,April,2010,"1,956.60","1,922.55","1,984.00","1,901.50",1.89%
2010-01-03,3,March,2010,"1,920.30","1,943.70","1,945.50","1,880.20",-0.23%
2010-01-02,2,February,2010,"1,924.80","1,988.20","2,014.50","1,911.50",-3.02%
2010-01-01,1,January,2010,"1,984.70","2,042.25","2,056.50","1,951.60",
